### Module positions - created on Monday, 20 June 2022 at 23:51:48 ###
### Printed by Pcbnew version (6.0.5-0)
## Unit = mm, Angle = deg.
## Side : top
# Designator     Val                                 Package                                                     Mid X       Mid Y       Rotation  Layer
C1        10uF_20V_X5R                        R_1206_3216Metric_Pad1.30x1.75mm_HandSolder              91.6940  -150.7490    0.0000  top
C2        10uF_20V_X5R                        R_1206_3216Metric_Pad1.30x1.75mm_HandSolder              91.6940  -148.2090    0.0000  top
C3        100nF                               C_0805_2012Metric_Pad1.18x1.45mm_HandSolder              95.5040  -156.8450   90.0000  top
C4        22uF_10V_X5R                        R_1206_3216Metric_Pad1.30x1.75mm_HandSolder             100.3300  -150.7490  180.0000  top
C5        22uF_10V_X5R                        R_1206_3216Metric_Pad1.30x1.75mm_HandSolder             100.3300  -148.2090  180.0000  top
C6        1uF                                 C_0805_2012Metric_Pad1.18x1.45mm_HandSolder             138.9380  -148.7170  -90.0000  top
C7        10uF                                C_0805_2012Metric_Pad1.18x1.45mm_HandSolder             141.4780  -148.7170  -90.0000  top
C8        100nF                               C_0805_2012Metric_Pad1.18x1.45mm_HandSolder             195.0720  -136.9060    0.0000  top
C11       100nF                               C_0805_2012Metric_Pad1.18x1.45mm_HandSolder             128.6510  -119.3165    0.0000  top
C12       100nF                               C_0805_2012Metric_Pad1.18x1.45mm_HandSolder             133.4770  -117.0940    0.0000  top
C13       10uF                                C_0805_2012Metric_Pad1.18x1.45mm_HandSolder             128.6510  -117.0940    0.0000  top
C14       10uF                                C_0805_2012Metric_Pad1.18x1.45mm_HandSolder             133.4770  -119.8880    0.0000  top
C15       10uF_20V_X5R                        R_1206_3216Metric_Pad1.30x1.75mm_HandSolder             120.1420  -137.5410  -90.0000  top
C16       10uF_20V_X5R                        R_1206_3216Metric_Pad1.30x1.75mm_HandSolder             122.6820  -137.5410  -90.0000  top
C17       100nF                               C_0805_2012Metric_Pad1.18x1.45mm_HandSolder             114.3000  -141.3510    0.0000  top
C18       22uF_10V_X5R                        R_1206_3216Metric_Pad1.30x1.75mm_HandSolder             120.1420  -146.1770   90.0000  top
C19       22uF_10V_X5R                        R_1206_3216Metric_Pad1.30x1.75mm_HandSolder             122.6820  -146.1770   90.0000  top
C24       1uF                                 C_0805_2012Metric_Pad1.18x1.45mm_HandSolder             191.1350  -121.5390  -90.0000  top
C25       1uF                                 C_0805_2012Metric_Pad1.18x1.45mm_HandSolder             191.1350  -125.9840   90.0000  top
D1        MMSZ4694T1G                         D_SOD-123F                                               87.1220  -127.7620   90.0000  top
D3        RED                                 LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder           103.8860  -153.5430    0.0000  top
D4        RED                                 LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder           140.4620  -139.7000    0.0000  top
D5        RED                                 LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder           118.8720  -150.7490    0.0000  top
D6        RED                                 LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder           207.2640  -130.5400   90.0000  top
D7        RED                                 LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder            98.5520  -128.0160  -90.0000  top
J1        MIDI_IN                             RS_5P180_DIN5_SOCKET_WSHIELD                            154.9400  -102.8700  -90.0000  top
J2        MIDI_OUT                            RS_5P180_DIN5_SOCKET_WSHIELD                            181.6100  -102.8700  -90.0000  top
J3        Conn_01x06                          PinSocket_1x06_P2.54mm_Vertical                         153.0100  -156.8200  180.0000  top
J4        Conn_02x10_Odd_Even                 IDC-Header_2x10_P2.54mm_Horizontal                      113.6650  -109.2200   90.0000  top
J5        Barrel_Jack_Switch                  BarrelJack_Horizontal                                    98.4250  -109.2200  -90.0000  top
J7        Conn_02x05_Odd_Even                 PinHeader_2x05_P1.27mm_Vertical_SMD                     151.2570  -138.4300    0.0000  top
J8        Conn_01x07                          2.42Inch_OLED_SSD1309                                   267.9700  -130.1750    0.0000  top
L1        4.7uH                               L_Taiyo-Yuden_NR-80xx_HandSoldering                      95.5040  -141.8590    0.0000  top
L2        4.7uH                               L_Taiyo-Yuden_NR-80xx_HandSoldering                     129.0320  -141.3510  -90.0000  top
Q1        Si2323DS                            SOT-23                                                   91.6940  -127.7620    0.0000  top
R1        220R                                R_0805_2012Metric_Pad1.20x1.40mm_HandSolder             147.5740  -119.8880  180.0000  top
R2        220R                                R_0805_2012Metric_Pad1.20x1.40mm_HandSolder             186.6900  -118.9990   90.0000  top
R3        220R                                R_0805_2012Metric_Pad1.20x1.40mm_HandSolder             171.4500  -118.9990  180.0000  top
R4        4K7                                 R_0805_2012Metric_Pad1.20x1.40mm_HandSolder             147.5740  -125.4760  180.0000  top
R5        100R                                R_1206_3216Metric_Pad1.30x1.75mm_HandSolder              88.6460  -121.4120  180.0000  top
R6        56K                                 R_0805_2012Metric_Pad1.20x1.40mm_HandSolder             104.1400  -156.2100  180.0000  top
R7        10K                                 R_0805_2012Metric_Pad1.20x1.40mm_HandSolder              99.3140  -157.9880    0.0000  top
R8        2K2                                 R_0805_2012Metric_Pad1.20x1.40mm_HandSolder              99.8220  -153.5430  180.0000  top
R9        2K2                                 R_0805_2012Metric_Pad1.20x1.40mm_HandSolder             140.4620  -137.1600    0.0000  top
R10       4K7                                 R_0805_2012Metric_Pad1.20x1.40mm_HandSolder             195.0720  -134.8740    0.0000  top
R13       2K2                                 R_0805_2012Metric_Pad1.20x1.40mm_HandSolder             102.6160  -128.0160  -90.0000  top
R14       4K7                                 R_0805_2012Metric_Pad1.20x1.40mm_HandSolder             195.0720  -143.0020  180.0000  top
R18       4K7                                 R_0805_2012Metric_Pad1.20x1.40mm_HandSolder             195.0720  -140.9700    0.0000  top
R19       4K7                                 R_0805_2012Metric_Pad1.20x1.40mm_HandSolder             195.0720  -138.9380  180.0000  top
R21       10K                                 R_0805_2012Metric_Pad1.20x1.40mm_HandSolder             131.0640  -126.4920  135.0000  top
R25       56K                                 R_0805_2012Metric_Pad1.20x1.40mm_HandSolder             113.2840  -149.8600   90.0000  top
R26       10K                                 R_0805_2012Metric_Pad1.20x1.40mm_HandSolder             113.2840  -145.7960   90.0000  top
R27       2K2                                 R_0805_2012Metric_Pad1.20x1.40mm_HandSolder             117.8560  -145.6690   90.0000  top
R28       10K                                 R_0805_2012Metric_Pad1.20x1.40mm_HandSolder             316.2300  -144.0340   90.0000  top
R29       10K                                 R_0805_2012Metric_Pad1.20x1.40mm_HandSolder             321.3100  -144.0340   90.0000  top
R32       2K2                                 R_0805_2012Metric_Pad1.20x1.40mm_HandSolder             209.5500  -130.5400   90.0000  top
REF**     Adafruit_1611_NPTH                  Adafruit_1611_NPTH                                      310.8452  -196.6214    0.0000  top
REF**     Adafruit_1611_NPTH                  Adafruit_1611_NPTH                                      190.8302  -196.6214    0.0000  top
REF**     Adafruit_1611_NPTH                  Adafruit_1611_NPTH                                      280.8097  -196.6214    0.0000  top
REF**     Adafruit_1611_NPTH                  Adafruit_1611_NPTH                                      310.8325  -170.6245    0.0000  top
REF**     Adafruit_1611_NPTH                  Adafruit_1611_NPTH                                      250.8377  -196.6214    0.0000  top
REF**     Adafruit_1611_NPTH                  Adafruit_1611_NPTH                                      220.8022  -196.6214    0.0000  top
REF**     Adafruit_1611_NPTH                  Adafruit_1611_NPTH                                      280.7970  -170.6245    0.0000  top
REF**     Adafruit_1611_NPTH                  Adafruit_1611_NPTH                                      250.8250  -170.6245    0.0000  top
REF**     Adafruit_1611_NPTH                  Adafruit_1611_NPTH                                      220.7895  -170.6245    0.0000  top
REF**     Adafruit_1611_NPTH                  Adafruit_1611_NPTH                                      190.8175  -170.6245    0.0000  top
REF**     Adafruit_1611_NPTH                  Adafruit_1611_NPTH                                      160.8455  -170.6245    0.0000  top
REF**     Adafruit_1611_NPTH                  Adafruit_1611_NPTH                                      130.8100  -170.6245    0.0000  top
REF**     Adafruit_1611_NPTH                  Adafruit_1611_NPTH                                      100.8380  -170.6245    0.0000  top
REF**     Adafruit_1611_NPTH                  Adafruit_1611_NPTH                                      100.8380  -196.6595    0.0000  top
REF**     Adafruit_1611_NPTH                  Adafruit_1611_NPTH                                      130.8100  -196.6595    0.0000  top
REF**     Adafruit_1611_NPTH                  Adafruit_1611_NPTH                                      160.8455  -196.6595    0.0000  top
SW1       RotaryEncoder_Switch                RotaryEncoder_Alps_EC12E-Switch_Vertical_H20mm          316.2700  -137.3140   90.0000  top
SW3       SW_SPST                             Dailywell_SPDT                                           98.5520  -119.3800  -90.0000  top
SW4       SW_SPST                             SW_PUSH-12mm                                            241.4100   -99.7350    0.0000  top
SW5       SW_SPST                             SW_PUSH-12mm                                            253.8900  -160.6550  180.0000  top
SW6       SW_SPST                             SW_PUSH-12mm                                            263.0000   -99.7350    0.0000  top
SW8       SW_SPST                             SW_PUSH-12mm                                            283.3200   -99.7350    0.0000  top
SW9       SW_SPST                             SW_PUSH-12mm                                            298.4500  -160.6550  180.0000  top
SW10      SW_SPST                             SW_PUSH-12mm                                            275.4800  -160.6150  180.0000  top
U1        PCB-SPST_RGB-LED-Counter-Clockwise  Circular_3mm_10mm_Cree_PLLC6_CLY6D-FKC-CK1N1D1BB7D3D3    93.3704  -191.1604    0.0000  top
U2        PCB-SPST_RGB-LED-Counter-Clockwise  Circular_3mm_10mm_Cree_PLLC6_CLY6D-FKC-CK1N1D1BB7D3D3   108.3564  -191.1604    0.0000  top
U3        PCB-SPST_RGB-LED-Counter-Clockwise  Circular_3mm_10mm_Cree_PLLC6_CLY6D-FKC-CK1N1D1BB7D3D3   123.3424  -191.1604    0.0000  top
U4        PCB-SPST_RGB-LED-Counter-Clockwise  Circular_3mm_10mm_Cree_PLLC6_CLY6D-FKC-CK1N1D1BB7D3D3   138.3284  -191.1604    0.0000  top
U5        PCB-SPST_RGB-LED-Counter-Clockwise  Circular_3mm_10mm_Cree_PLLC6_CLY6D-FKC-CK1N1D1BB7D3D3   153.3144  -191.1604    0.0000  top
U6        PCB-SPST_RGB-LED-Counter-Clockwise  Circular_3mm_10mm_Cree_PLLC6_CLY6D-FKC-CK1N1D1BB7D3D3   168.3512  -191.1604    0.0000  top
U7        PCB-SPST_RGB-LED-Counter-Clockwise  Circular_3mm_10mm_Cree_PLLC6_CLY6D-FKC-CK1N1D1BB7D3D3   183.3372  -191.1604    0.0000  top
U8        PCB-SPST_RGB-LED-Counter-Clockwise  Circular_3mm_10mm_Cree_PLLC6_CLY6D-FKC-CK1N1D1BB7D3D3   198.3232  -191.1604    0.0000  top
U9        PCB-SPST_RGB-LED-Counter-Clockwise  Circular_3mm_10mm_Cree_PLLC6_CLY6D-FKC-CK1N1D1BB7D3D3   213.3092  -191.1350    0.0000  top
U10       PCB-SPST_RGB-LED-Counter-Clockwise  Circular_3mm_10mm_Cree_PLLC6_CLY6D-FKC-CK1N1D1BB7D3D3   228.3206  -191.1350    0.0000  top
U11       PCB-SPST_RGB-LED-Counter-Clockwise  Circular_3mm_10mm_Cree_PLLC6_CLY6D-FKC-CK1N1D1BB7D3D3   243.3066  -191.1350    0.0000  top
U12       PCB-SPST_RGB-LED-Counter-Clockwise  Circular_3mm_10mm_Cree_PLLC6_CLY6D-FKC-CK1N1D1BB7D3D3   258.3180  -191.1350    0.0000  top
U13       PCB-SPST_RGB-LED-Counter-Clockwise  Circular_3mm_10mm_Cree_PLLC6_CLY6D-FKC-CK1N1D1BB7D3D3   273.3040  -191.1350    0.0000  top
U14       PCB-SPST_RGB-LED-Counter-Clockwise  Circular_3mm_10mm_Cree_PLLC6_CLY6D-FKC-CK1N1D1BB7D3D3   288.3154  -191.1350    0.0000  top
U15       PCB-SPST_RGB-LED-Counter-Clockwise  Circular_3mm_10mm_Cree_PLLC6_CLY6D-FKC-CK1N1D1BB7D3D3   303.3014  -191.1350    0.0000  top
U16       PCB-SPST_RGB-LED-Counter-Clockwise  Circular_3mm_10mm_Cree_PLLC6_CLY6D-FKC-CK1N1D1BB7D3D3   318.3128  -191.1096    0.0000  top
U17       PCB-SPST_RGB-LED-Counter-Clockwise  Circular_3mm_10mm_Cree_PLLC6_CLY6D-FKC-CK1N1D1BB7D3D3    93.3704  -176.1236    0.0000  top
U18       PCB-SPST_RGB-LED-Counter-Clockwise  Circular_3mm_10mm_Cree_PLLC6_CLY6D-FKC-CK1N1D1BB7D3D3   108.3564  -176.1236    0.0000  top
U19       PCB-SPST_RGB-LED-Counter-Clockwise  Circular_3mm_10mm_Cree_PLLC6_CLY6D-FKC-CK1N1D1BB7D3D3   123.3424  -176.1236    0.0000  top
U20       PCB-SPST_RGB-LED-Counter-Clockwise  Circular_3mm_10mm_Cree_PLLC6_CLY6D-FKC-CK1N1D1BB7D3D3   138.3284  -176.1236    0.0000  top
U21       PCB-SPST_RGB-LED-Counter-Clockwise  Circular_3mm_10mm_Cree_PLLC6_CLY6D-FKC-CK1N1D1BB7D3D3   153.3144  -176.1236    0.0000  top
U22       PCB-SPST_RGB-LED-Counter-Clockwise  Circular_3mm_10mm_Cree_PLLC6_CLY6D-FKC-CK1N1D1BB7D3D3   168.3512  -176.1236    0.0000  top
U23       PCB-SPST_RGB-LED-Counter-Clockwise  Circular_3mm_10mm_Cree_PLLC6_CLY6D-FKC-CK1N1D1BB7D3D3   183.3372  -176.1236    0.0000  top
U24       PCB-SPST_RGB-LED-Counter-Clockwise  Circular_3mm_10mm_Cree_PLLC6_CLY6D-FKC-CK1N1D1BB7D3D3   198.3232  -176.1236    0.0000  top
U25       PCB-SPST_RGB-LED-Counter-Clockwise  Circular_3mm_10mm_Cree_PLLC6_CLY6D-FKC-CK1N1D1BB7D3D3   213.3092  -176.1236    0.0000  top
U26       PCB-SPST_RGB-LED-Counter-Clockwise  Circular_3mm_10mm_Cree_PLLC6_CLY6D-FKC-CK1N1D1BB7D3D3   228.3206  -176.1236    0.0000  top
U27       PCB-SPST_RGB-LED-Counter-Clockwise  Circular_3mm_10mm_Cree_PLLC6_CLY6D-FKC-CK1N1D1BB7D3D3   243.3066  -176.1236    0.0000  top
U28       PCB-SPST_RGB-LED-Counter-Clockwise  Circular_3mm_10mm_Cree_PLLC6_CLY6D-FKC-CK1N1D1BB7D3D3   258.3180  -176.1236    0.0000  top
U29       PCB-SPST_RGB-LED-Counter-Clockwise  Circular_3mm_10mm_Cree_PLLC6_CLY6D-FKC-CK1N1D1BB7D3D3   273.3040  -176.1236    0.0000  top
U30       PCB-SPST_RGB-LED-Counter-Clockwise  Circular_3mm_10mm_Cree_PLLC6_CLY6D-FKC-CK1N1D1BB7D3D3   288.3154  -176.1490    0.0000  top
U31       PCB-SPST_RGB-LED-Counter-Clockwise  Circular_3mm_10mm_Cree_PLLC6_CLY6D-FKC-CK1N1D1BB7D3D3   303.3014  -176.1236    0.0000  top
U32       PCB-SPST_RGB-LED-Counter-Clockwise  Circular_3mm_10mm_Cree_PLLC6_CLY6D-FKC-CK1N1D1BB7D3D3   318.3128  -176.1236    0.0000  top
U33       STM32G0B1_KxTxN_LQFP32              LQFP-32_7x7mm_P0.8mm                                    163.7826  -140.1202   90.0000  top
U38       TPS563200                           SOT-23-6                                                 91.6940  -156.8450  -90.0000  top
U39       TPS563200                           SOT-23-6                                                114.3000  -137.5410  180.0000  top
U40       SE8233X2                            SOT-23                                                  140.4620  -144.1450  180.0000  top
U41       MCP1703A-3302_SOT223                SOT-223-3_TabPin2                                       198.4008  -122.9546    0.0000  top
U42       74LVC1G34                           SOT-23-5_HandSoldering                                  180.8480  -118.9990    0.0000  top
U43       6N135S                              SMDIP-8_W9.53mm                                         156.2100  -120.6500  -90.0000  top
## End
